codigo;departamento;nombre
0;0;Otro (Para extranjeros)
13;1;AHUACHAPAN NORTE
14;1;AHUACHAPAN CENTRO
15;1;AHUACHAPAN SUR
14;2;SANTA ANA NORTE
15;2;SANTA ANA CENTRO
16;2;SANTA ANA ESTE
17;2;SANTA ANA OESTE
17;3;SONSONATE NORTE
18;3;SONSONATE CENTRO
19;3;SONSONATE ESTE
20;3;SONSONATE OESTE
34;4;CHALATENANGO NORTE
35;4;CHALATENANGO CENTRO
36;4;CHALATENANGO SUR
23;5;LA LIBERTAD NORTE
24;5;LA LIBERTAD CENTRO
25;5;LA LIBERTAD OESTE
26;5;LA LIBERTAD ESTE
27;5;LA LIBERTAD COSTA
28;5;LA LIBERTAD SUR
20;6;SAN SALVADOR NORTE
21;6;SAN SALVADOR OESTE
22;6;SAN SALVADOR ESTE
23;6;SAN SALVADOR CENTRO
24;6;SAN SALVADOR SUR
17;7;CUSCATLAN NORTE
18;7;CUSCATLAN SUR
23;8;LA PAZ OESTE
24;8;LA PAZ CENTRO
25;8;LA PAZ ESTE
10;9;CABAÑAS OESTE
11;9;CABAÑAS ESTE
14;10;SAN VICENTE NORTE
15;10;SAN VICENTE SUR
24;11;USULUTAN NORTE
25;11;USULUTAN ESTE
26;11;USULUTAN OESTE
21;12;SAN MIGUEL NORTE
22;12;SAN MIGUEL CENTRO
23;12;SAN MIGUEL OESTE
27;13;MORAZAN NORTE
28;13;MORAZAN SUR
19;14;LA UNION NORTE
20;14;LA UNION SUR
