code;name;description
11;IMPUESTOS;Incluye los ingresos originados en la potestad del Estado para establecer tributos de carácter directos o indirectos.
111;Impuesto Sobre la Renta;Comprende   los   tributos   provenientes   de   la   renta   obtenida   de productos o utilidades percibidos o devengados por sujetos pasivos, provenientes del trabajo, actividad empresarial, de capital o toda clase de productos, ganancias, beneficios o utilidades, cualquiera que sea su origen, de conformidad a lo establecido en la Ley de Impuesto sobre la Renta y su reglamento.
11101;De Personas Naturales Asalariadas;Comprende el impuesto sobre los ingresos obtenidos por personas naturales, como retribución a su esfuerzo de trabajo tales como: salarios, sueldos, honorarios, comisiones y toda clase de remuneraciones o compensaciones por servicios personales, excepto los gastos de representación.
11102;De personas Naturales no Asalariadas;Comprende el impuesto sobre los ingresos obtenidos, por personas naturales en el ejercicio liberal de su profesión, derivados de la propiedad de activos fijos, intangibles y financieros, tales como: arrendamientos, intereses, utilidades, dividendos, regalías y otras rentas.
11103;De Personas Jurídicas;Comprende el impuesto sobre el producto o utilidades obtenidas en el territorio nacional por las personas jurídicas y fideicomisos, domiciliados o no en el país.
11104;Por Retenciones a Personas Naturales y Jurídicas;Comprende las retenciones aplicadas a personas naturales y jurídicas, por el pago o acreditamiento de cantidades en concepto de rentas, dividendos, utilidades, premios y otros, que se constituyen en pago definitivo del impuesto de conformidad a las leyes aplicables
112;Impuesto Sobre Transferencia de Bienes Raíces;Comprende los tributos originados en las transferencias de dominio de los bienes inmuebles, de conformidad a la Ley del Impuesto sobre Transferencia de Bienes Raíces.
11201;De Transferencia de Bienes Raíces;Comprende el impuesto que se aplica sobre el valor real o comercial de los bienes inmuebles transferidos de dominio.
113;Impuesto Sobre el Comercio Exterior;Comprende los tributos provenientes de las transacciones comerciales entre residentes y el resto del mundo.
11301;Aranceles a la Importación;Comprende los derechos de importación de mercancías establecidos en el Arancel Centroamericano de Importación.
114;Impuesto a la Transferencia de Bienes Muebles y a la Prestación de Servicios;"Comprende los tributos originados en transferencia, importación, internación, exportación y al consumo de bienes muebles corporales; como también en prestación, importación, internación, exportación y el autoconsumo de servicios, de conformidad a lo establecido en la Ley de Impuesto a la Transferencia de Bienes Muebles y a la Prestación de Servicios y su reglamento."
11401;Sobre Transacciones Internas;Comprende el Impuesto a la Transferencia de Bienes Muebles y a la Prestación de Servicios, entre personas domiciliadas en el país.
11402;Sobre Transacciones con el Exterior;Comprende el impuesto sobre la importación o internación definitiva al país de bienes muebles corporales y de servicios, destinados al uso interno, así como sobre los bienes y servicios destinados a la exportación.
11403;Sobre Transacciones Internas vía Retención y Percepción;Comprende el Impuesto a la Transferencia de Bienes Muebles y a la Prestación de Servicios, recaudados por agentes de retención y percepción designados por la Dirección General de Impuestos Internos.
115;Impuesto a Productos Específicos;Comprende los tributos aplicados a determinados productos en el proceso producción, comercialización, distribución, transferencia o importación de conformidad a las Leyes y sus respectivos Reglamentos.
11501;Específico Sobre Alcohol y Bebidas Alcohólicas;Comprende el impuesto específico sobre el contenido alcohólico, por la producción y la importación de bebidas alcohólicas, así como el retiro de los inventarios de dichos productos, de conformidad a lo establecido en la Ley Reguladora de la Producción de Alcohol y de las Bebidas Alcohólicas.
11502;Específico Sobre Cerveza;Comprende el impuesto específico sobre el contenido alcohólico, por la producción y la importación de cerveza, así como el retiro de los inventarios de dicho producto, de conformidad a lo establecido en la Ley Reguladora de la Producción de Alcohol y de las Bebidas Alcohólicas.
11503;Específico sobre Productos de Tabaco;Comprende el impuesto específico sobre la producción e importación de cigarrillos y cualquier otro producto elaborado de tabaco de fabricación nacional o importada, así como el retiro de los inventarios de los productos referidos, de conformidad a lo establecido en la Ley de Impuestos sobre Productos del Tabaco.
11505;Específico sobre Gasolina;Comprende el impuesto sobre la comercialización de gasolina y gasohol, que realiza el productor o importador hacia los distribuidores
11508;Específico sobre Bebidas Energizantes o Estimulantes;Comprende el impuesto específico sobre la producción, importación y retiros del inventario de bebidas energizantes o estimulantes, de conformidad a lo establecido en la Ley de Impuesto sobre las Bebidas Gaseosas, Isotónicas, Fortificantes o Energizantes, Jugos, Néctares, Refrescos y Preparaciones Concentradas o en Polvo para la Elaboración de Bebidas
11509;Ad-valorem sobre Alcohol y Bebidas Alcohólicas;Comprende el impuesto ad-valorem sobre el precio de venta sugerido al consumidor, declarado a la Administración Tributaria por el productor o importador de bebidas alcohólicas. Incluye además, el impuesto ad-valorem por el diferencial de precio, cuando se venda al consumidor de bebidas alcohólicas a precios superiores del sugerido al público, de conformidad a lo establecido en la Ley Reguladora de la Producción de Alcohol y de las Bebidas Alcohólicas. 
11510;Ad-valorem sobre Cerveza;Comprende el impuesto ad-valorem sobre el precio de venta sugerido al consumidor, declarado a la Administración Tributaria por el productor o importador de cerveza. Incluye además, el impuesto advalorem por el diferencial de precio, cuando se venda al consumidor de cerveza a precios superiores del sugerido al público, de conformidad a lo establecido en la Ley Reguladora de la Producción de Alcohol y de las Bebidas Alcohólicas.
11511;Ad-valorem sobre Productos de Tabaco;Comprende el impuesto ad-valorem sobre el precio de venta sugerido al consumidor, declarado a la Administración Tributaria por el productor o importador de productos del tabaco. Además incluye el impuesto ad-valorem por el diferencial de precio, cuando los agentes económicos vendan los productos referidos a precios superiores a los consignados en sus empaques, de conformidad a lo establecido en la Ley de Impuesto sobre Productos del Tabaco.
11512;Ad-valorem sobre Bebidas Carbonatadas o Gaseosas Simples o Endulzadas;Comprende el impuesto ad-valorem sobre el precio de venta sugerido al público, declarado a la Administración Tributaria por el productor o importador de bebidas carbonatadas o gaseosas simples o endulzadas, así como las preparaciones concentradas o en polvo utilizadas en la elaboración de dichas bebidas, de conformidad a lo establecido en la Ley de Impuesto sobre las Bebidas Gaseosas, Isotónicas, Fortificantes o Energizantes, Jugos, Néctares, Refrescos y Preparaciones Concentradas o en Polvo para la Elaboración de Bebidas.
11513;Ad-valorem sobre Bebidas Energizantes o Estimulantes;Comprende el impuesto ad-valorem sobre la producción, importación y retiros del inventario de bebidas energizantes o estimulantes, así como las preparaciones concentradas o en polvo utilizadas en la elaboración de dichas bebidas, de conformidad a lo establecido en la Ley de Impuesto sobre las Bebidas Gaseosas, Isotónicas, Fortificantes o Energizantes, Jugos, Néctares, Refrescos y Preparaciones Concentradas o en Polvo para la Elaboración de Bebidas.
