CTA_CONT_CENT;CTA_CONT_CENT_PADR;CLAS_PRES_INGR;CLAS_PRES_EGRE;COD_INS_CAR_TRA;NOMB_CTA_CONT_CENT;TIPO_CUEN_CONT;NATURA_SALDO;TIENE_SUBCTA;NIVEL;TIPO_EJEC_PTO_INGR;TIPO_EJEC_PTO_EGRE;TIP_FLU_FDO_DEB;TIP_FLU_FDO_HAB
2;;;;;Recursos;A;D;N;1;0;0;0;0
21;2;;;;Fondos;A;D;S;2;0;0;0;0
211;21;;;;Disponibilidades;A;D;S;3;0;0;0;0
21101;211;;;;Caja General;A;D;S;4;0;0;7;7
21101001;21101;;;;Caja General;A;D;N;5;0;0;7;7
21103;211;;;;Caja Chica;A;D;S;4;0;0;7;7
21103001;21103;;;;Caja Chica;A;D;N;5;0;0;7;7
21105;211;;;;Banco Central de Reserva M/D;A;D;S;4;0;0;7;7
21105001;21105;;;;Banco Central de Reserva M/D;A;D;N;5;0;0;7;7
21107;211;;;;Banco Central de Reserva M/E;A;D;S;4;0;0;7;7
21107001;21107;;;;Banco Central de Reserva M/E;A;D;N;5;0;0;7;7
21109;211;;;;Bancos Comerciales M/D;A;D;S;4;0;0;7;7
21109001;21109;;;;Banco Comerciales M/D;A;D;N;5;0;0;7;7
21111;211;;;;Bancos Comerciales M/E;A;D;S;4;0;0;7;7
21111001;21111;;;;Bancos Comerciales M/E;A;D;N;5;0;0;7;7
21113;211;;;;Banco Central de Reserva Fondos Restringidos M/D;A;D;S;4;0;0;7;7
21113001;21113;;;;Banco Central de Reserva Fondos Restringidos M/D;A;D;N;5;0;0;7;7
21115;211;;;;Banco Central de Reserva Fondos Restringidos M/E;A;D;S;4;0;0;7;7
21115001;21115;;;;Banco Central de Reserva Fondos Restringidos M/E;A;D;N;5;0;0;7;7
21117;211;;;;Bancos Comerciales Fondos Restringidos M/D;A;D;S;4;0;0;7;7
21117001;21117;;;;Bancos Comerciales Fondos Restringidos M/D;A;D;N;5;0;0;7;7
21119;211;;;;Bancos Comerciales Fondos Restringidos M/E;A;D;S;4;0;0;7;7
21119001;21119;;;;Bancos Comerciales Fondos Restringidos M/E;A;D;N;5;0;0;7;7
21121;211;;;;Banco Central de Reserva Convenios de Recaudación;A;D;S;4;0;0;7;7
21121001;21121;;;;Banco Central de Reserva Convenio de Recaudación;A;D;N;5;0;0;7;7
21123;211;;;;Bancos Comerciales Convenios de Recaudación;A;D;S;4;0;0;7;7
21123001;21123;;;;Bancos Comerciales Convenios de Recaudación;A;D;N;5;0;0;7;7
21125;211;;;;Instituciones Financieras Diversas Convenios de Recaudación;A;D;S;4;0;0;7;7
21125001;21125;;;;Instituciones Financieras Diversas Convenios de Recaudación;A;D;N;5;0;0;7;7
21127;211;;;;Equivalentes de Efectivo;A;D;S;4;0;0;7;7
21127001;21127;;;;Bonos;A;D;N;5;0;0;7;7
21127002;21127;;;;Letras del Tesoro;A;D;N;5;0;0;7;7
21127003;21127;;;;Notas de Crédito del Tesoro Público;A;D;N;5;0;0;7;7
21127004;21127;;;;Cédulas Hipotecarias;A;D;N;5;0;0;7;7
21127005;21127;;;;Depósitos a Plazo;A;D;N;5;0;0;7;7
21127006;21127;;;;Acciones;A;D;N;5;0;0;7;7
21127007;21127;;;;Participación de Capital;A;D;N;5;0;0;7;7
21127008;21127;;;;Bonos M/E;A;D;N;5;0;0;7;7
21127009;21127;;;;Letras del Tesoro M/E;A;D;N;5;0;0;7;7
21127010;21127;;;;Cédulas Hipotecarias;A;D;N;5;0;0;7;7
21127011;21127;;;;Depósitos a Plazo M/E;A;D;N;5;0;0;7;7
21127012;21127;;;;Acciones M/E;A;D;N;5;0;0;7;7
21127013;21127;;;;Participación de Capital M/E;A;D;N;5;0;0;7;7
21127014;21127;;;;Derechos Especiales de Giro (DEG);A;D;N;5;0;0;7;7
21127015;21127;;;;Descuento sobre Compra de Titulosvalores;A;D;N;5;0;0;7;7
21127016;21127;;;;Provisión de Inversiones Temporales;A;D;N;5;0;0;7;7
21127017;21127;;;;Moneda Digital - Estable;A;D;N;5;0;0;7;7
21129;211;;;;Depósitos en Críptomonedas;A;D;N;4;0;0;7;7
21129001;21129;;;;Recepción de Críptomonedas de Inversionistas para Inversión ;A;D;N;5;0;0;7;7
21129002;21129;;;;Recepción de Donación en Críptomonedas para Inversión;A;D;N;5;0;0;7;7
21129003;21129;;;;Recepción de Críptomonedas como Medio de Pago;A;D;N;5;0;0;7;7
21151;211;;;;Fondos Depósitos en Tesoro Público;A;D;S;4;0;0;7;7
21151001;21151;;;;Fondos en Depósitos en Tesoro Público;A;D;N;5;0;0;7;7
21151935;21151;;;;Dirección General de Tesorería;A;D;N;5;0;0;7;7
21153;211;;;;Fondos Depósitos en Dependencias Institucionales;A;D;S;4;0;0;7;7
21153001;21153;;;;Fondos Depósitos en Dependencias Institucionales;A;D;N;5;0;0;7;7
21155;211;;;;Derechos Especiales de Giro;A;D;N;4;0;0;0;0
21155001;21155;;;;DEG-Gobierno de El Salvador;A;D;N;5;0;0;7;7
21191;211;;;;Fondos en Tránsito;A;D;S;4;0;0;7;7
21191001;21191;;;;Fondos en Tránsito;A;D;N;5;0;0;7;7
212;21;;;;Anticipos de Fondos;A;D;S;3;0;0;0;0
21201;212;;;;Anticipos a Empleados;A;D;S;4;0;0;6;3
21201001;21201;;;;Anticipos a Empleados;A;D;N;5;0;0;6;3
21203;212;;;;Anticipos por Servicios;A;D;S;4;0;0;6;3
21203001;21203;;;;Anticipos por Servicios;A;D;N;5;0;0;6;3
21205;212;;;;Anticipos por Intereses;A;D;S;4;0;0;6;3
21205001;21205;;;;Anticipos por Intereses;A;D;N;5;0;0;6;3
21207;212;;;;Anticipos a Contratistas;A;D;S;4;0;0;6;3
21207001;21207;;;;Anticipos a Contratistas;A;D;N;5;0;0;6;3
21209;212;;;;Anticipos a Proveedores;A;D;S;4;0;0;6;3
21209001;21209;;;;Anticipos a Proveedores;A;D;N;5;0;0;6;3
21211;212;;;;Anticipos para Apertura de Cartas de Crédito;A;D;S;4;0;0;6;3
21211001;21211;;;;Anticipos para Apertura de Cartas de Crédito;A;D;N;5;0;0;6;3
21213;212;;;;Anticipos de Fondos a Dependencias Institucionales;A;D;S;4;0;0;6;3
21213001;21213;;;;Anticipos de Fondos a Dependencias Institucionales;A;D;N;5;0;0;6;3
21213800;21213;;;100;Asamblea Legislativa;A;D;N;5;0;0;6;3
21213802;21213;;;1600;Corte Suprema de Justicia;A;D;N;5;0;0;6;3
21213803;21213;;;1601;Caja Mutual del Abogado de El Salvador (CAMUDASAL);A;D;N;5;0;0;6;3
21213804;21213;;;1500;Consejo Nacional de la Judicatura;A;D;N;5;0;0;6;3
21213805;21213;;;200;Corte de Cuentas de la República;A;D;N;5;0;0;6;3
21213807;21213;;;300;Tribunal Supremo Electoral;A;D;N;5;0;0;6;3
21213808;21213;;;301;Registro Nacional de las Personas Naturales;A;D;N;5;0;0;6;3
21213810;21213;;;400;Tribunal de Servicio Civil;A;D;N;5;0;0;6;3
21213812;21213;;;1700;Fiscalía General de la República;A;D;N;5;0;0;6;3
21213814;21213;;;1800;Procuraduría General de la República;A;D;N;5;0;0;6;3
21213816;21213;;;1900;Procuraduría para la Defensa de los Derechos Humanos;A;D;N;5;0;0;6;3
21213818;21213;;;500;Presidencia de la República;A;D;N;5;0;0;6;3
21213819;21213;;;501;Instituto Nacional de los Deportes de El Salvador (INDES);A;D;N;5;0;0;6;3
21213820;21213;;;502;Instituto Salvadoreño de Protección al Menor;A;D;N;5;0;0;6;3
21213821;21213;;;503;Administración Nacional de Telecomunicaciones (Antel);A;D;N;5;0;0;6;3
21213822;21213;;;504;Instituto Salvadoreño para el Desarrollo de la Mujer (ISDEMU);A;D;N;5;0;0;6;3
21213823;21213;;;505;Fondo de Inversión Social para el Desarrollo Local de El Salvador (FISDL);A;D;N;5;0;0;6;3
21213824;21213;;;;Fondo Solidario para la Familia Microempresaria (FOSOFAMILIA);A;D;N;5;0;0;6;3
21213825;21213;;;700;Ministerio de Hacienda;A;D;N;5;0;0;6;3
21213826;21213;;;701;Lotería Nacional de Beneficencia (LNB);A;D;N;5;0;0;6;3
21213827;21213;;;702;Instituto Nacional de Pensiones de los Empleados Públicos (INPEP);A;D;N;5;0;0;6;3
21213828;21213;;;704;Fondo Salvadoreño para Estudios de Preinversión (FOSEP);A;D;N;5;0;0;6;3
21213830;21213;;;800;Ministerio de Relaciones Exteriores;A;D;N;5;0;0;6;3
21213831;21213;;;;Secretaría Externa de Financiamiento Externo (SETEFE);A;D;N;5;0;0;6;3
21213833;21213;;;2000;Ministerio del Interior;A;D;N;5;0;0;6;3
21213834;21213;;;2002;Instituto Salvadoreño de Desarrollo Municipal (ISDEM);A;D;N;5;0;0;6;3
21213836;21213;;;900;Ministerio de la Defensa Nacional;A;D;N;5;0;0;6;3
21213837;21213;;;901;Instituto de Previsión Social de la Fuerza Armada (IPSFA);A;D;N;5;0;0;6;3
21213838;21213;;;902;Centro Farmacéutico de la Fuerza Armada (CEFAFA);A;D;N;5;0;0;6;3
