code,parent_code,budget_income,budget_expense,COD_INS_CAR_TRA,NOMB_CTA_CONT_CENT,TIPO_CUEN_CONT,NATURA_SALDO,TIENE_SUBCTA,NIVEL,TIPO_EJEC_PTO_INGR,TIPO_EJEC_PTO_EGRE,TIP_FLU_FDO_DEB,TIP_FLU_FDO_HAB,id_temporal,longitud,parent_id,budget_income_id_temporal,budget_expense_id_temporal
2,0,0,0,,Recursos,A,D,N,1,0,0,0,0,1,1,0,0,0
21,2,0,0,,Fondos,A,D,S,2,0,0,0,0,2,2,1,0,0
211,21,0,0,,Disponibilidades,A,D,S,3,0,0,0,0,3,3,2,0,0
21101,211,0,0,,Caja General,A,D,S,4,0,0,7,7,4,5,3,0,0
21101001,21101,0,0,,Caja General,A,D,N,5,0,0,7,7,5,8,4,0,0
21103,211,0,0,,Caja Chica,A,D,S,4,0,0,7,7,6,5,3,0,0
21103001,21103,0,0,,Caja Chica,A,D,N,5,0,0,7,7,7,8,6,0,0
21105,211,0,0,,Banco Central de Reserva M/D,A,D,S,4,0,0,7,7,8,5,3,0,0
21105001,21105,0,0,,Banco Central de Reserva M/D,A,D,N,5,0,0,7,7,9,8,8,0,0
21107,211,0,0,,Banco Central de Reserva M/E,A,D,S,4,0,0,7,7,10,5,3,0,0
21107001,21107,0,0,,Banco Central de Reserva M/E,A,D,N,5,0,0,7,7,11,8,10,0,0
21109,211,0,0,,Bancos Comerciales M/D,A,D,S,4,0,0,7,7,12,5,3,0,0
21109001,21109,0,0,,Banco Comerciales M/D,A,D,N,5,0,0,7,7,13,8,12,0,0
21111,211,0,0,,Bancos Comerciales M/E,A,D,S,4,0,0,7,7,14,5,3,0,0
21111001,21111,0,0,,Bancos Comerciales M/E,A,D,N,5,0,0,7,7,15,8,14,0,0
21113,211,0,0,,Banco Central de Reserva Fondos Restringidos M/D,A,D,S,4,0,0,7,7,16,5,3,0,0
21113001,21113,0,0,,Banco Central de Reserva Fondos Restringidos M/D,A,D,N,5,0,0,7,7,17,8,16,0,0
21115,211,0,0,,Banco Central de Reserva Fondos Restringidos M/E,A,D,S,4,0,0,7,7,18,5,3,0,0
21115001,21115,0,0,,Banco Central de Reserva Fondos Restringidos M/E,A,D,N,5,0,0,7,7,19,8,18,0,0
21117,211,0,0,,Bancos Comerciales Fondos Restringidos M/D,A,D,S,4,0,0,7,7,20,5,3,0,0
21117001,21117,0,0,,Bancos Comerciales Fondos Restringidos M/D,A,D,N,5,0,0,7,7,21,8,20,0,0
21119,211,0,0,,Bancos Comerciales Fondos Restringidos M/E,A,D,S,4,0,0,7,7,22,5,3,0,0
21119001,21119,0,0,,Bancos Comerciales Fondos Restringidos M/E,A,D,N,5,0,0,7,7,23,8,22,0,0
21121,211,0,0,,Banco Central de Reserva Convenios de Recaudación,A,D,S,4,0,0,7,7,24,5,3,0,0
21121001,21121,0,0,,Banco Central de Reserva Convenio de Recaudación,A,D,N,5,0,0,7,7,25,8,24,0,0
21123,211,0,0,,Bancos Comerciales Convenios de Recaudación,A,D,S,4,0,0,7,7,26,5,3,0,0
21123001,21123,0,0,,Bancos Comerciales Convenios de Recaudación,A,D,N,5,0,0,7,7,27,8,26,0,0
21125,211,0,0,,Instituciones Financieras Diversas Convenios de Recaudación,A,D,S,4,0,0,7,7,28,5,3,0,0
21125001,21125,0,0,,Instituciones Financieras Diversas Convenios de Recaudación,A,D,N,5,0,0,7,7,29,8,28,0,0
21127,211,0,0,,Equivalentes de Efectivo,A,D,S,4,0,0,7,7,30,5,3,0,0
